2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1862
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S2830
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S2038
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S2260
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1172
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1578
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1854
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1451
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1697
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S4721
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S3358
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S2050
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S2053
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1481
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1523
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1765
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1766
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S2737
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S100
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S101
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1121
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1124
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1125
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1763
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1488
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1764
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1126
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1192
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S2042
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S2041
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1116
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1996
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1479
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S4507
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1997
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1117
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S2964
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1998
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1757
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S4508
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:NoSonar
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1075
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S2044
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S2043
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S2681
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S2046
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1990
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1110
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1871
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S2201
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1751
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S2047
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S3776
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1599
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S117
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S2070
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S115
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S116
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S113
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S114
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1820
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1788
